Datetime,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Hour,Minute,Second
2025-09-29 09:00:00+08:00,3.490000009536743,3.5,3.490000009536743,3.5,3.5,18200,2025,9,29,9,0,0
2025-09-29 09:01:00+08:00,3.5,3.5199999809265137,3.5,3.5199999809265137,3.5199999809265137,36700,2025,9,29,9,1,0
2025-09-29 09:02:00+08:00,3.5199999809265137,3.5299999713897705,3.5199999809265137,3.5299999713897705,3.5299999713897705,39100,2025,9,29,9,2,0
2025-09-29 09:03:00+08:00,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,7800,2025,9,29,9,3,0
2025-09-29 09:04:00+08:00,3.5299999713897705,3.539999961853028,3.5299999713897705,3.5299999713897705,3.5299999713897705,16400,2025,9,29,9,4,0
2025-09-29 09:05:00+08:00,3.5299999713897705,3.539999961853028,3.509999990463257,3.509999990463257,3.509999990463257,13200,2025,9,29,9,5,0
2025-09-29 09:06:00+08:00,3.509999990463257,3.5299999713897705,3.509999990463257,3.5299999713897705,3.5299999713897705,4400,2025,9,29,9,6,0
2025-09-29 09:07:00+08:00,3.5299999713897705,3.5299999713897705,3.509999990463257,3.5299999713897705,3.5299999713897705,6800,2025,9,29,9,7,0
2025-09-29 09:08:00+08:00,3.5299999713897705,3.5299999713897705,3.5199999809265137,3.5199999809265137,3.5199999809265137,5000,2025,9,29,9,8,0
2025-09-29 09:09:00+08:00,3.5199999809265137,3.5299999713897705,3.5199999809265137,3.5199999809265137,3.5199999809265137,6600,2025,9,29,9,9,0
2025-09-29 09:10:00+08:00,3.5199999809265137,3.5299999713897705,3.5199999809265137,3.5299999713897705,3.5299999713897705,6800,2025,9,29,9,10,0
2025-09-29 09:11:00+08:00,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,2500,2025,9,29,9,11,0
2025-09-29 09:12:00+08:00,3.5299999713897705,3.5299999713897705,3.5199999809265137,3.5199999809265137,3.5199999809265137,12100,2025,9,29,9,12,0
2025-09-29 09:13:00+08:00,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,1600,2025,9,29,9,13,0
2025-09-29 09:14:00+08:00,3.5199999809265137,3.5199999809265137,3.509999990463257,3.509999990463257,3.509999990463257,2900,2025,9,29,9,14,0
2025-09-29 09:15:00+08:00,3.509999990463257,3.509999990463257,3.509999990463257,3.509999990463257,3.509999990463257,9800,2025,9,29,9,15,0
2025-09-29 09:16:00+08:00,3.509999990463257,3.509999990463257,3.509999990463257,3.509999990463257,3.509999990463257,3600,2025,9,29,9,16,0
2025-09-29 09:17:00+08:00,3.509999990463257,3.509999990463257,3.509999990463257,3.509999990463257,3.509999990463257,2800,2025,9,29,9,17,0
2025-09-29 09:18:00+08:00,3.509999990463257,3.5199999809265137,3.509999990463257,3.5199999809265137,3.5199999809265137,4700,2025,9,29,9,18,0
2025-09-29 09:19:00+08:00,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,3100,2025,9,29,9,19,0
2025-09-29 09:20:00+08:00,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,4900,2025,9,29,9,20,0
2025-09-29 09:21:00+08:00,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,4100,2025,9,29,9,21,0
2025-09-29 09:22:00+08:00,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,3500,2025,9,29,9,22,0
2025-09-29 09:23:00+08:00,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,1800,2025,9,29,9,23,0
2025-09-29 09:24:00+08:00,3.5199999809265137,3.5199999809265137,3.509999990463257,3.509999990463257,3.509999990463257,800,2025,9,29,9,24,0
2025-09-29 09:25:00+08:00,3.509999990463257,3.509999990463257,3.5,3.509999990463257,3.509999990463257,23800,2025,9,29,9,25,0
2025-09-29 09:26:00+08:00,3.509999990463257,3.5199999809265137,3.509999990463257,3.5199999809265137,3.5199999809265137,5500,2025,9,29,9,26,0
2025-09-29 09:27:00+08:00,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,2700,2025,9,29,9,27,0
2025-09-29 09:28:00+08:00,3.5199999809265137,3.5299999713897705,3.5199999809265137,3.5299999713897705,3.5299999713897705,7800,2025,9,29,9,28,0
2025-09-29 09:29:00+08:00,3.5299999713897705,3.539999961853028,3.5299999713897705,3.539999961853028,3.539999961853028,26100,2025,9,29,9,29,0
2025-09-29 09:30:00+08:00,3.539999961853028,3.539999961853028,3.539999961853028,3.539999961853028,3.539999961853028,4100,2025,9,29,9,30,0
2025-09-29 09:31:00+08:00,3.539999961853028,3.539999961853028,3.5299999713897705,3.5299999713897705,3.5299999713897705,6900,2025,9,29,9,31,0
2025-09-29 09:32:00+08:00,3.5299999713897705,3.5299999713897705,3.5199999809265137,3.5299999713897705,3.5299999713897705,5300,2025,9,29,9,32,0
2025-09-29 09:33:00+08:00,3.5299999713897705,3.549999952316284,3.5299999713897705,3.549999952316284,3.549999952316284,34900,2025,9,29,9,33,0
2025-09-29 09:34:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,4100,2025,9,29,9,34,0
2025-09-29 09:35:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3900,2025,9,29,9,35,0
2025-09-29 09:36:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3500,2025,9,29,9,36,0
2025-09-29 09:37:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,9400,2025,9,29,9,37,0
2025-09-29 09:38:00+08:00,3.549999952316284,3.559999942779541,3.5299999713897705,3.549999952316284,3.549999952316284,110900,2025,9,29,9,38,0
2025-09-29 09:39:00+08:00,3.549999952316284,3.549999952316284,3.539999961853028,3.549999952316284,3.549999952316284,12300,2025,9,29,9,39,0
2025-09-29 09:40:00+08:00,3.549999952316284,3.549999952316284,3.539999961853028,3.549999952316284,3.549999952316284,7700,2025,9,29,9,40,0
2025-09-29 09:41:00+08:00,3.549999952316284,3.549999952316284,3.539999961853028,3.549999952316284,3.549999952316284,11300,2025,9,29,9,41,0
2025-09-29 09:42:00+08:00,3.549999952316284,3.549999952316284,3.539999961853028,3.549999952316284,3.549999952316284,4000,2025,9,29,9,42,0
2025-09-29 09:43:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,2900,2025,9,29,9,43,0
2025-09-29 09:44:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,4900,2025,9,29,9,44,0
2025-09-29 09:45:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,8400,2025,9,29,9,45,0
2025-09-29 09:46:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3200,2025,9,29,9,46,0
2025-09-29 09:47:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,2200,2025,9,29,9,47,0
2025-09-29 09:48:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3300,2025,9,29,9,48,0
2025-09-29 09:49:00+08:00,3.549999952316284,3.549999952316284,3.539999961853028,3.549999952316284,3.549999952316284,3900,2025,9,29,9,49,0
2025-09-29 09:50:00+08:00,3.549999952316284,3.559999942779541,3.549999952316284,3.559999942779541,3.559999942779541,17100,2025,9,29,9,50,0
2025-09-29 09:51:00+08:00,3.559999942779541,3.559999942779541,3.549999952316284,3.549999952316284,3.549999952316284,11300,2025,9,29,9,51,0
2025-09-29 09:52:00+08:00,3.549999952316284,3.559999942779541,3.549999952316284,3.559999942779541,3.559999942779541,20400,2025,9,29,9,52,0
2025-09-29 09:53:00+08:00,3.559999942779541,3.559999942779541,3.549999952316284,3.559999942779541,3.559999942779541,7700,2025,9,29,9,53,0
2025-09-29 09:54:00+08:00,3.559999942779541,3.559999942779541,3.549999952316284,3.559999942779541,3.559999942779541,10200,2025,9,29,9,54,0
2025-09-29 09:55:00+08:00,3.559999942779541,3.559999942779541,3.549999952316284,3.559999942779541,3.559999942779541,5300,2025,9,29,9,55,0
2025-09-29 09:56:00+08:00,3.559999942779541,3.559999942779541,3.549999952316284,3.549999952316284,3.549999952316284,12800,2025,9,29,9,56,0
2025-09-29 09:57:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,5200,2025,9,29,9,57,0
2025-09-29 09:58:00+08:00,3.549999952316284,3.559999942779541,3.549999952316284,3.559999942779541,3.559999942779541,2500,2025,9,29,9,58,0
2025-09-29 09:59:00+08:00,3.559999942779541,3.559999942779541,3.559999942779541,3.559999942779541,3.559999942779541,3000,2025,9,29,9,59,0
2025-09-29 10:00:00+08:00,3.559999942779541,3.559999942779541,3.559999942779541,3.559999942779541,3.559999942779541,900,2025,9,29,10,0,0
2025-09-29 10:01:00+08:00,3.559999942779541,3.559999942779541,3.549999952316284,3.549999952316284,3.549999952316284,16700,2025,9,29,10,1,0
2025-09-29 10:02:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,1200,2025,9,29,10,2,0
2025-09-29 10:03:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,1000,2025,9,29,10,3,0
2025-09-29 10:04:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,1700,2025,9,29,10,4,0
2025-09-29 10:05:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,700,2025,9,29,10,5,0
2025-09-29 10:06:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,1600,2025,9,29,10,6,0
2025-09-29 10:07:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,800,2025,9,29,10,7,0
2025-09-29 10:08:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,1900,2025,9,29,10,8,0
2025-09-29 10:09:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,1300,2025,9,29,10,9,0
2025-09-29 10:10:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,1800,2025,9,29,10,10,0
2025-09-29 10:11:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3700,2025,9,29,10,11,0
2025-09-29 10:12:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3600,2025,9,29,10,12,0
2025-09-29 10:13:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,2300,2025,9,29,10,13,0
2025-09-29 10:14:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3300,2025,9,29,10,14,0
2025-09-29 10:15:00+08:00,3.549999952316284,3.559999942779541,3.549999952316284,3.549999952316284,3.549999952316284,32700,2025,9,29,10,15,0
2025-09-29 10:16:00+08:00,3.549999952316284,3.559999942779541,3.549999952316284,3.559999942779541,3.559999942779541,2700,2025,9,29,10,16,0
2025-09-29 10:17:00+08:00,3.559999942779541,3.569999933242798,3.559999942779541,3.569999933242798,3.569999933242798,45100,2025,9,29,10,17,0
2025-09-29 10:18:00+08:00,3.569999933242798,3.569999933242798,3.569999933242798,3.569999933242798,3.569999933242798,6500,2025,9,29,10,18,0
2025-09-29 10:19:00+08:00,3.569999933242798,3.569999933242798,3.569999933242798,3.569999933242798,3.569999933242798,13000,2025,9,29,10,19,0
2025-09-29 10:20:00+08:00,3.569999933242798,3.569999933242798,3.569999933242798,3.569999933242798,3.569999933242798,4700,2025,9,29,10,20,0
2025-09-29 10:21:00+08:00,3.569999933242798,3.569999933242798,3.559999942779541,3.569999933242798,3.569999933242798,17000,2025,9,29,10,21,0
2025-09-29 10:22:00+08:00,3.569999933242798,3.5799999237060547,3.569999933242798,3.5799999237060547,3.5799999237060547,11200,2025,9,29,10,22,0
2025-09-29 10:23:00+08:00,3.5799999237060547,3.5799999237060547,3.569999933242798,3.569999933242798,3.569999933242798,28400,2025,9,29,10,23,0
2025-09-29 10:24:00+08:00,3.569999933242798,3.5799999237060547,3.569999933242798,3.5799999237060547,3.5799999237060547,1300,2025,9,29,10,24,0
2025-09-29 10:25:00+08:00,3.5799999237060547,3.5799999237060547,3.569999933242798,3.569999933242798,3.569999933242798,3000,2025,9,29,10,25,0
2025-09-29 10:26:00+08:00,3.569999933242798,3.5799999237060547,3.569999933242798,3.5799999237060547,3.5799999237060547,1100,2025,9,29,10,26,0
2025-09-29 10:27:00+08:00,3.5799999237060547,3.5799999237060547,3.569999933242798,3.5799999237060547,3.5799999237060547,2800,2025,9,29,10,27,0
2025-09-29 10:28:00+08:00,3.5799999237060547,3.5799999237060547,3.569999933242798,3.5799999237060547,3.5799999237060547,3800,2025,9,29,10,28,0
2025-09-29 10:29:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,1500,2025,9,29,10,29,0
2025-09-29 10:30:00+08:00,3.5799999237060547,3.5799999237060547,3.569999933242798,3.5799999237060547,3.5799999237060547,2800,2025,9,29,10,30,0
2025-09-29 10:31:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,2500,2025,9,29,10,31,0
2025-09-29 10:32:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,2700,2025,9,29,10,32,0
2025-09-29 10:33:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,2700,2025,9,29,10,33,0
2025-09-29 10:34:00+08:00,3.5799999237060547,3.5799999237060547,3.569999933242798,3.569999933242798,3.569999933242798,4200,2025,9,29,10,34,0
2025-09-29 10:35:00+08:00,3.569999933242798,3.5799999237060547,3.569999933242798,3.5799999237060547,3.5799999237060547,2100,2025,9,29,10,35,0
2025-09-29 10:36:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,1300,2025,9,29,10,36,0
2025-09-29 10:37:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,1400,2025,9,29,10,37,0
2025-09-29 10:38:00+08:00,3.5799999237060547,3.5799999237060547,3.569999933242798,3.5799999237060547,3.5799999237060547,22800,2025,9,29,10,38,0
